etat,nameclient,porteur,zoneclient,nature,leadrating,coord,titgrp,datedet,budget,botech
Perdus,90836,28609,89683,universite publique,2,28577,115746,2020-03-05,4489,\N
Perdus,90836,28609,89683,universite publique,2,28570,115746,2020-03-05,4489,\N
Perdus,-9,130411,89694,villa,1,130411,136907,2020-05-16,7000,\N
BC,165593,28576,89688,villa,1,28576,115744,2018-02-10,90632,142832
BC,103056,122055,89687,habitation,1,122055,115741,2020-05-12,71610,28614
Perdus,-9,28576,89688,villa,1,28576,134667,2018-02-10,74683,162366
BC,-9,130392,101185,villa,1,130392,133119,2020-08-24,\N,\N
Perdus,-9,122055,133968,villa,1,108904,115744,2020-02-13,80360,\N
Perdus,-9,122055,133968,villa,1,122027,115744,2020-02-13,80360,\N
Perdus,-9,122055,133968,villa,1,28619,115744,2020-02-13,80360,\N
BC,143878,28614,89674,habitation,1,122055,115741,2016-09-08,168264,\N
Perdus,-9,28614,89684,usine,1,28577,115746,2019-01-15,15068,\N
Perdus,-9,28614,89684,usine,1,28609,115746,2019-01-15,15068,\N
BC,90326,28565,89687,villa,1,28565,115743,2020-08-05,26442,28569
BC,136875,130590,89694,villa,1,130590,130419,2020-03-05,\N,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-09-12,\N,\N
Perdus,163469,130410,89694,villa,1,130410,130418,2020-09-23,7556,\N
BC,-9,130392,101185,villa,1,130392,115742,2020-03-17,\N,\N
BC,-9,130392,101185,villa,1,130392,133119,2020-05-15,\N,\N
BC,-9,108905,89694,distribution,1,133385,115745,2020-02-18,1117,\N
Perdus,122887,28614,89684,habitation,1,122055,115742,2018-03-27,13329,\N
BC,141307,93623,89672,villa,1,93623,115743,2019-11-23,9674,\N
BC,191374,130590,89687,villa,1,130590,130419,2021-02-08,1803,130590
Perdus,136560,130407,89694,habitation,1,130407,130419,2020-03-02,\N,\N
Perdus,126758,28614,89684,habitation,1,122055,115741,2018-03-27,91382,\N
Perdus,141626,122018,89688,banque,1,122018,115744,2020-06-04,71451,108904
BC,127013,130410,89694,villa,5,130410,130418,2020-10-06,444,130410
